Frequency (kHz),C
0.04339200000000001,-0.06673801619358719
0.04352,-0.07000742965000845
0.043648000000000006,-0.06865646286173668
0.043776,-0.0672564558532272
0.043904000000000006,-0.06330846837490278
0.044032,-0.0630747567771808
0.044160000000000005,-0.06407801435811293
0.04428800000000001,-0.07748462659897407
0.044416000000000004,-0.07254466343818664
0.04454400000000001,-0.06436477645168567
0.044672,-0.07191237208593568
0.044800000000000006,-0.07068730661511809
0.044928,-0.06671972569195266
0.045056,-0.06547731132307634
0.045183999999999995,-0.07006650807971913
0.045312,-0.07023616568708564
0.04544,-0.0603987539568686
0.045568,-0.05738435890026828
0.045696,-0.07925743343918118
0.045824,-0.07423497410595961
0.045952,-0.0688611880905739
0.046079999999999996,-0.06767646629960679
0.046208,-0.07293474914839407
0.046336,-0.07628704539127888
0.046464,-0.07416746146700445
0.046592,-0.06627773919437063
0.04672,-0.06518896193137073
0.046848,-0.05957629705265266
0.046976,-0.06840677452981381
0.047104,-0.07965322774539067
0.047232,-0.06497802834158942
0.04736,-0.06666819760788108
0.047488,-0.06337115621535326
0.047616,-0.06437493600736108
0.047744,-0.07022652141515494
0.047872,-0.05654920954228003
0.048,-0.04814784363571642
0.048128000000000004,-0.0515200845418221
0.048256,-0.05942857914538591
0.048384,-0.05754651588042368
0.048512,-0.05220403407008584
0.04864,-0.05368264097828835
0.048768,-0.06491190653056313
0.048896,-0.06459544124139205
0.049024000000000005,-0.06537491773597659
0.049152,-0.06891408085325709
0.049280000000000004,-0.078911148974727
0.049408,-0.07241025490377113
0.049536000000000004,-0.06661229759746264
0.049664,-0.07173255148350167
0.049792,-0.06395971622999108
0.049920000000000006,-0.06119928944762817
0.050048,-0.06877008938611319
0.050176000000000005,-0.07163891314775539
0.050304,-0.07044300191943369
0.050432000000000005,-0.07809448745692628
0.05056,-0.06477530064529119
0.050688000000000004,-0.05971777630219673
0.05081600000000001,-0.06372759150659685
0.050944,-0.06511152313162438
0.051072000000000006,-0.07506183815844662
0.0512,-0.07374343722841617
0.051328000000000006,-0.07258518415286672
0.051456,-0.056184401047676004
0.051584000000000005,-0.059147304048688204
0.051712,-0.06786848795061318
0.051840000000000004,-0.06258431992266933
0.05196800000000001,-0.0564779494757801
0.052096,-0.04636746908174157
0.052224000000000007,-0.05148719040436422
0.052352,-0.05179609228867067
0.052480000000000006,-0.05490305362223048
0.052608,-0.055194932611405755
0.052736000000000005,-0.05650701144455377
0.05286400000000001,-0.062139787800357685
0.052992000000000004,-0.05732217744393044
0.05312000000000001,-0.054047631239570425
0.053248000000000004,-0.052883823622044676
0.053376,-0.05609050115768393
0.053503999999999996,-0.044637163424007774
0.053632,-0.037519343564440595
0.05376,-0.04146222995560048
0.053888,-0.06192544179612127
0.054016,-0.06522275232560795
0.054144,-0.04066540679351305
0.054272,-0.03959540319515116
0.0544,-0.04506415709314285
0.054528,-0.04649785564320865
0.054656,-0.06166560717132327
0.054784,-0.05310397337149032
0.054912,-0.05133132582967859
0.05504,-0.05350141490176214
0.055168,-0.0515388872881729
0.055296,-0.047900019877109845
0.055424,-0.0437934282785677
0.055552000000000004,-0.0481990657149572
0.05568,-0.04958975491896931
0.055808,-0.04514802748523963
0.055936,-0.04299734496768052
0.056064,-0.0609919582136539
0.056192,-0.061779037043947674
0.05632,-0.05876276981643892
0.056448,-0.05001786281203844
0.056576,-0.04099268875440894
0.056704000000000004,-0.043075066101295446
0.056832,-0.03867605369054607
0.056960000000000004,-0.037680498198643775
0.057088,-0.0333611809404151
0.057216,-0.0474445515608399
0.057344,-0.044512583114017866
0.057472,-0.041775343303003976
0.057600000000000005,-0.04477391744565032
0.057728,-0.03469542267584353
0.057856000000000005,-0.035608284500623144
0.057984,-0.036477481943399656
0.058112000000000004,-0.0379360448105408
0.05824,-0.03888203381244372
0.058368,-0.02344986899320856
0.058496000000000006,-0.02050366804641129
0.058624,-0.007251441040244864
0.058752000000000006,0.04583818412058344
0.05888,-0.00413974108006188
0.059008000000000005,-0.024574422058230398
0.059136,-0.025034818570846006
0.059264000000000004,-0.0348798392946976
0.05939200000000001,-0.029504088098976745
0.05952,-0.02138820316657359
0.05964800000000001,-0.028243496717639913
0.059776,-0.040287422908832866
0.059904000000000006,-0.03194481081453991
0.060032,-0.024997870322452723
0.060160000000000005,-0.026884051270307477
0.06028800000000001,-0.028434150173225137
0.060416000000000004,-0.028755936983306182
0.06054400000000001,-0.025557633032941143
0.060672000000000004,-0.018353038136986115
0.06080000000000001,-0.021307430002040346
0.060928,-0.023235814109767206
0.061056000000000006,-0.015615310594592537
0.06118400000000001,-0.011533469934330848
0.061312000000000005,-0.014000332913264033
0.06144,-0.019141906313337533
0.061568,-0.02441634949389765
0.061696,-0.02492016084985268
0.061824,-0.01991642040317284
0.061952,-0.0241837861225254
0.062079999999999996,-0.03406834233221954
0.062208,-0.019154832077066433
0.062336,-0.009506338431562391
0.062464,-0.012419586079358027
0.062592,-0.016439015906268468
0.06272,-0.011638899491674631
0.062848,-0.0022031894694191255
0.062976,-0.003725595851000581
0.06310400000000001,0.009959581931135613
0.063232,0.049594954389787796
0.06336,0.08962010839449659
0.063488,0.03758745546497713
0.063616,0.007522120935089428
0.063744,0.01585347737607626
0.063872,0.0197428491171121
0.064,0.04077950531476261
0.064128,0.012636237365146352
0.06425600000000001,0.01792436889368582
0.064384,0.04300453768927531
0.064512,0.06703400013809883
0.06464,0.07266264454038683
0.064768,0.10052985603975235
0.064896,0.10192828152781708
0.065024,0.08478051000567069
0.065152,0.0477299653867647
0.06528,0.05071997305424355
