Frequency (kHz),Shotnoise calibrated squeezing (dB),Correlation calibrated squeezing (dB)
58.88,0.06024205638410895,-0.03595753955943996
59.008,-0.26268186127322324,-0.21349370128017908
59.136,-0.2977750907910061,-0.2174951165969185
59.264,-0.2667630985510396,-0.30308538615764374
59.392,-0.32545607882810196,-0.25634365200594544
59.52,-0.29506563009333575,-0.1858039080418586
59.648,-0.3055081732166133,-0.24538515688061913
59.776,-0.28127027570771973,-0.35012161596070546
59.904,0.12210173520576992,-0.27756354212654866
60.032000000000004,0.10207696621058389,-0.2171739872206383
60.160000000000004,-0.2623087072109783,-0.23356818384790656
60.288000000000004,-0.26101279583136133,-0.24704248274000884
60.416000000000004,-0.17168725629754575,-0.24983977476357355
60.544000000000004,-0.22791983373336322,-0.22203913313144713
60.672000000000004,-0.24479540751892945,-0.15943036591230628
60.800000000000004,-0.25798468589614265,-0.18510200136920607
60.928000000000004,-0.21738925104895282,-0.2018600505259912
61.056000000000004,-0.19368674332589725,-0.1356438902472941
61.184000000000005,-0.26893766045009987,-0.10018288929144745
61.312000000000005,-0.22861439729100236,-0.12161329277581803
61.44,-0.15998447437927565,-0.16628479729837917
61.568,-0.1472426772491607,-0.21211987610073518
61.696,-0.07021480247881769,-0.21649859057746132
61.824,-0.053853495007593545,-0.17301470825152127
61.952,-0.09623497907638805,-0.210098662801106
62.08,-0.11433965756633543,-0.29602842577495797
62.208,-0.03988793214424925,-0.1663971102362844
62.336,-0.04250549315808183,-0.08257349394042238
62.464,-0.04648251481458427,-0.1078807009903799
62.592,-0.008398800743405401,-0.14280034236142794
62.72,-0.018773290071714778,-0.10109876173839626
62.848,0.051028045317943325,-0.019136691546608412
62.976,0.05032780012402696,-0.03236026411922859
63.104,0.03838126468655616,0.08651068999691916
63.232,0.25177645331553944,0.43113001025830383
63.36,0.5892921583085501,0.7805245283332618
63.488,0.3286363257167554,0.3266343727851067
63.616,0.0663978919407388,0.06533754462121748
63.744,0.13381267303719618,0.1377130929113966
63.872,0.4296716529565201,0.1715064941611475
64.0,0.7874721946700369,0.35440282337827506
64.128,0.5196553683638762,0.1097628055496705
64.256,0.5344229441179011,0.15570576667670863
64.384,1.0218003487515113,0.3737631933840898
64.512,1.8294496903649893,0.5831244105817169
64.64,2.635876039735496,0.6322540198796254
64.768,3.4306373096749403,0.8761507651236767
64.896,3.527263589992598,0.8884230952099967
65.024,2.7004123255481476,0.7381661369106253
65.152,1.6524089253689955,0.4148924657770382
65.28,0.9310695988454813,0.440926444849892
65.408,0.5794160768024263,0.33962307732459407
